SampleID,SubjectID,Day,Dose
SRR6444565,U222_accessible,0,0
SRR6443884,U222_accessible,0,0
SRR6444382,U222_accessible,0,0
SRR6444917,U225_accessible,0,0
SRR6443930,U225_accessible,0,0
SRR6444814,U225_accessible,0,0
SRR6443937,U228_accessible,0,0
SRR6444172,U228_accessible,0,0
SRR6444016,U228_accessible,0,0
SRR6444340,U229_accessible,0,0
SRR6444499,U229_accessible,0,0
SRR6444143,U230_accessible,0,0
SRR6444228,U230_accessible,0,0
SRR6444142,U230_accessible,0,0
SRR6443938,U233_accessible,0,0
SRR6444101,U233_accessible,0,0
SRR6444543,U233_accessible,0,0
SRR6443921,U242_accessible,0,0
SRR6444819,U242_accessible,0,0
SRR6444213,U242_accessible,0,0
SRR6444805,U243_accessible,0,0
SRR6444420,U243_accessible,0,0
SRR6443858,U243_accessible,0,0
SRR6444353,U246_accessible,0,0
SRR6444348,U246_accessible,0,0
SRR6444516,U246_accessible,0,0
SRR6444703,U252_accessible,0,0
SRR6444871,U252_accessible,0,0
SRR6444232,U252_accessible,0,0
SRR6444870,U253_accessible,0,0
SRR6444844,U253_accessible,0,0
SRR6444394,U253_accessible,0,0
SRR6444914,U255_accessible,0,0
SRR6444641,U255_accessible,0,0
SRR6444289,U255_accessible,0,0
SRR6445006,U257_accessible,0,0
SRR6444515,U257_accessible,0,0
SRR6444698,U264_accessible,0,0
SRR6444243,U264_accessible,0,0
SRR6444412,U266_accessible,0,0
SRR6445030,U266_accessible,0,0
SRR6444684,U266_accessible,0,0
SRR6443859,U270_accessible,0,0
SRR6444034,U270_accessible,0,0
SRR6444810,U270_accessible,0,0
SRR6444290,U274_accessible,0,0
SRR6444315,U274_accessible,0,0
SRR6444991,U274_accessible,0,0
SRR6444701,U275_accessible,0,0
SRR6444929,U275_accessible,0,0
SRR6444852,U275_accessible,0,0
SRR6444067,U281_accessible,0,0
SRR6444884,U281_accessible,0,0
SRR6444248,U281_accessible,0,0
SRR6444668,U288_accessible,0,0
SRR6444009,U288_accessible,0,0
SRR6443849,U288_accessible,0,0
SRR6443989,U290_accessible,0,0
SRR6444240,U290_accessible,0,0
SRR6444704,U290_accessible,0,0
SRR6444546,U295_accessible,0,0
SRR6444307,U295_accessible,0,0
SRR6444147,U295_accessible,0,0
SRR6444210,U297_accessible,0,0
SRR6444451,U297_accessible,0,0
SRR6444438,U297_accessible,0,0
SRR6444194,U302_accessible,0,0
SRR6444403,U302_accessible,0,0
SRR6444766,U302_accessible,0,0
SRR6444293,U346_accessible,0,0
SRR6444489,U346_accessible,0,0
SRR6444848,U346_accessible,0,0
SRR6444666,U346_accessible,0,0
SRR6444375,U347_accessible,0,0
SRR6444671,U347_accessible,0,0
SRR6444978,U347_accessible,0,0
SRR6444525,U347_accessible,0,0
SRR6444266,U348_accessible,0,0
SRR6444599,U348_accessible,0,0
SRR6444829,U348_accessible,0,0
SRR6444639,U348_accessible,0,0
SRR6444134,U349_accessible,0,0
SRR6444015,U349_accessible,0,0
SRR6444006,U349_accessible,0,0
SRR6444441,U350_accessible,0,0
SRR6444756,U350_accessible,0,0
SRR6443928,U350_accessible,0,0
SRR6444888,U350_accessible,0,0
SRR6444048,U352_accessible,0,0
SRR6444632,U352_accessible,0,0
SRR6444328,U352_accessible,0,0
SRR6444448,U353_accessible,0,0
SRR6444140,U353_accessible,0,0
SRR6444022,U353_accessible,0,0
SRR6444064,U353_accessible,0,0
SRR6444598,U354_accessible,0,0
SRR6444777,U354_accessible,0,0
SRR6444763,U354_accessible,0,0
SRR6444341,U354_accessible,0,0
SRR6444804,U357_accessible,0,0
SRR6444754,U357_accessible,0,0
SRR6444954,U357_accessible,0,0
SRR6444580,U357_accessible,0,0
SRR6443993,U358_accessible,0,0
SRR6443987,U358_accessible,0,0
SRR6444563,U358_accessible,0,0
SRR6443861,U358_accessible,0,0
SRR6444928,U359_accessible,0,0
SRR6444255,U359_accessible,0,0
SRR6444576,U359_accessible,0,0
SRR6444185,U361_accessible,0,0
SRR6444937,U361_accessible,0,0
SRR6444326,U361_accessible,0,0
SRR6443939,U361_accessible,0,0
SRR6443980,U363_accessible,0,0
SRR6444483,U363_accessible,0,0
SRR6444812,U363_accessible,0,0
SRR6443991,U363_accessible,0,0
SRR6444212,U366_accessible,0,0
SRR6444478,U366_accessible,0,0
SRR6444759,U366_accessible,0,0
SRR6444739,U366_accessible,0,0
SRR6444552,U367_accessible,0,0
SRR6443862,U367_accessible,0,0
SRR6443983,U367_accessible,0,0
SRR6444238,U367_accessible,0,0
SRR6444202,U042_inulin,0,20
SRR6444421,U042_inulin,0,20
SRR6444927,U042_inulin,0,20
SRR6444656,U042_inulin,0,20
SRR6444596,U068_inulin,0,20
SRR6445027,U068_inulin,0,20
SRR6443968,U068_inulin,0,20
SRR6444381,U075_inulin,0,20
SRR6443905,U075_inulin,0,20
SRR6444312,U076_inulin,0,20
SRR6444479,U076_inulin,0,20
SRR6444550,U076_inulin,0,20
SRR6444384,U076_inulin,0,20
SRR6444070,U077_inulin,0,20
SRR6444788,U077_inulin,0,20
SRR6443949,U077_inulin,0,20
SRR6444840,U077_inulin,0,20
SRR6444354,U080_inulin,0,20
SRR6444838,U080_inulin,0,20
SRR6444103,U080_inulin,0,20
SRR6444010,U080_inulin,0,20
SRR6444713,U081_inulin,0,20
SRR6444669,U081_inulin,0,20
SRR6444217,U081_inulin,0,20
SRR6444859,U082_inulin,0,20
SRR6444903,U082_inulin,0,20
SRR6444338,U082_inulin,0,20
SRR6444680,U082_inulin,0,20
SRR6443910,U083_inulin,0,20
SRR6444758,U083_inulin,0,20
SRR6443924,U084_inulin,0,20
SRR6444964,U084_inulin,0,20
SRR6444670,U084_inulin,0,20
SRR6444885,U085_inulin,0,20
SRR6444556,U085_inulin,0,20
SRR6444024,U085_inulin,0,20
SRR6443974,U085_inulin,0,20
SRR6444948,U086_inulin,0,20
SRR6444523,U086_inulin,0,20
SRR6444396,U086_inulin,0,20
SRR6444311,U087_inulin,0,20
SRR6443934,U087_inulin,0,20
SRR6444667,U087_inulin,0,20
SRR6444433,U087_inulin,0,20
